	驮	dou2	㊀拿。
1	驮驮	dou2 dou
1	驮驮爻	dou2 dou rao
1	驮驮出	dou2 dou chv
1	驮驮来	dou2 dou lei
1	驮驮过	dou2 dou kou
1	驮出	dou2 chv
1	驮出来	dou2 chioh lei
1	驮来	dou2 lei
1	驮弗来	dou2 feh7 lei2
1	驮及来	dou2 gih8 lei
1	驮及弗来	dou2 gih8 feh7 lei2
1	驮及去	dou2 gih8 khei
1	驮及giao	dou2 gih8 giao
1	驮爻	dou2 rao
1	驮fao	dou2 fao9
1	驮边	dou2 pian
1	驮去	dou2 khei
1	驮弗去	dou2 feh7 khei5
1	驮走	dou2 ceo
1	驮djiao	dou2 djiao
1	驮liao	dou2 liao
1	驮弗liao	dou2 feh7 liao
1	驮khao	dou2 khao
	举	kv3
	举举	kv3 kv
1	驮驮爻	dou2 dou rao
1	驮眼爻	dou2 nkan rao
1	驮粒爻	dou2 nhoh rao
1	驮驮出	dou2 dou chv
	举手	kv3 xieo3
1	举举	kv3 kv
1	举举起	kv3 kv khi
1	举举过	kv3 kv kou
1	举起	kv3 khi
1	举起来	kv3 khih7 lei
1	举来	kv3 lei
1	举弗来	kv3 feh7 lei
	举重	kv3 djiung4
	捏	niah8	㊀拿捏：书捏leh手里。㊁攥紧：拳头～来。
	捏笔	kho5 pih7
	捏箸	kho5 dzy6
	捏拳头	niah8 gion2 deo2
1	捏捏	niah8 niang9
1	捏捏	niah8 niah
1	捏捏出	niah8 niah chv9
1	捏捏起	niah8 niah khi9
1	捏捏爻	niah8 niah rao
1	捏捏来	niah8 niah lei2
1	捏捏过	niah8 niah kou
1	捏出	niah8 chv
1	捏出来	niah8 chioh7 lei
1	捏起	niah8 khi9
1	捏起来	niah8 khih7 lei
1	捏来	niah8 lei2
1	捏弗来	niah8 feh7 lei2
1	捏及来	niah8 gih8 lei9
1	捏及弗来	niah8 gih8 feh7 lei2
1	捏及去	niah8 gih8 khei9
1	捏及giao	niah8 gih8 giao9
1	捏爻	niah8 rao9
1	捏fao	niah8 fao9
1	捏去	niah8 khei9
1	捏弗去	niah8 feh7 khei5
1	捏走	niah8 ceo9
1	捏djiao	niah8 djiao9
1	捏liao	niah8 liao9
1	捏弗liao	niah8 feh7 liao
1	捏khao	niah8 khao9
1	捏dao	niah8 dao9
1	捏牢	niah8 lao9
1	捏牢牢	niah8 lao2 lao2
1	捏弗牢	niah8 feh7 lao2
	揢	kho5	㊀拿捏：揢箸teh揢笔弗样。
	揢笔	kho5 pih7
	揢箸	kho5 dzy6
1	揢揢	kho5 kho
1	揢揢出	kho5 kho chv
1	揢揢起	kho5 kho khi
1	揢揢过	kho5 kho kou
1	捏捏爻	kho5 kho rao
1	捏捏来	kho5 kho lei2
1	揢出	kho5 chv
1	揢出来	kho5 chioh7 lei
1	揢起	kho5 khi
1	揢起来	kho5 khih7 lei
1	揢来	kho5 lei
1	揢弗来	kho5 feh7 lei2
1	揢及来	kho5 gih8 lei
1	揢及弗来	kho5 gih8 feh7 lei
1	揢及去	kho5 gih8 khei
1	揢及giao	kho5 gih8 giao
1	揢爻	kho5 rao
1	揢去	kho5 khei
1	揢弗去	kho5 feh7 khei5
1	揢走	kho5 ceo
1	揢djiao	kho5 djiao
1	揢liao	kho5 liao
1	揢弗liao	kho5 feh7 liao2
1	揢khao	kho5 khao
1	揢牢	kho5 lao
1	揢牢牢	kho5 lao2 lao2
1	揢弗牢	kho5 feh7 lao2
	爪	cao3	㊀抓住，紧握住。
	衫袖爪起 san1 jieo6 cao3 khi
	衫袖头爪起 san1 jieo6 deo2 cao3 khi
1	爪爪	cao3 cao
1	爪爪起	cao3 cao khi
1	爪起	cao3 khi
1	爪起来	cao3 khih7 lei
1	爪来	cao3 lei
1	爪去	cao3 khei
1	爪牢	cao3 lao
1	爪牢牢	cao3 lao2 lao2
1	爪弗牢	cao3 feh7 lao2
	绾	uan3	㊀扶住：车开驶liao，手骨～lao牢，hiang leh𨀤倒。
1	绾绾	uan3 uan
1	绾绾来	uan3 uan lei2
1	绾起	uan3 khi
1	绾牢	uan3 lao
1	绾牢牢	uan3 lao2 lao2
1	绾弗牢	uan3 feh7 lao2
1	绾djiao	uan3 djiao
	掴	kuak7	㊀拍。
	掴手	kuak7 xieo9	拍手。
	掴掴手	kuak7 kuak7 xieo9	拍手。
	掴照	kuak7 ciao5	拍照。
